m,n,m/n,nClass,meanAll,avgSTDAll,entropyClass,Q75,Q25,Q75-Q25,ChiClass,avgChiAll,medChiAll,stdChiAll,minChiAll,maxChiAll,avgPearCorrClass,avgPearCorrAll,avgKendCorrClass,avgKendCorrAll,avgSpeaCorrClass,avgSpeaCorrAll,avgCovClass,avgCovAll,avgKLNormAll,avgKLUnifAll,avgKLLogiAll,avgKLExpoAll,avgKLChiAll,avgKLRaylAll,avgKLParetAll,avgKLZipfAll,KLNormClass,KLUnifClass,KLLogiClass,KLExpoClass,KLChiClass,KLRaylClass,KLParetClass,KLZipfClass,radComClass,class
696,65,10.70769231,3,0.442953009,0.110500185,6.438516343,3,1,2,268.4675325,20.25435838,21.69758075,7.3403646,5.972927525,33.24244293,0.027924209,0.702668705,0.054527846,0.505193575,0.065756102,0.651488019,0.012577596,0.00869584,0,0,64.50094845,2065.691483,0,0,-266.4933941,691.4290409,-281.4240264,630.3324571,-470.9446033,-88.00707939,57.8399558,2025.262473,-429.6457181,60.69824811,0.105363985,0.356128364
696,65,10.70769231,3,0.396443434,0.086464029,6.438516343,3,1,2,268.4675325,15.03707186,12.91375072,8.873116953,3.819935921,33.47094926,0.013064834,0.553043686,0.015268141,0.429005897,0.014867577,0.562418326,0.010794463,0.004423252,0,0,23.51040661,2026.217619,0,0,-258.904311,762.4289053,-279.3982712,669.1464072,-442.8596716,-44.16309039,26.77831604,2019.666698,-381.1823854,233.9985685,0.11302682,0.467060041
696,65,10.70769231,3,0.528470533,0.12333487,6.438516343,3,1,2,268.4675325,20.28409929,20.48792565,3.734199467,9.189916637,30.64960618,-0.036991924,0.7367307,-0.003009639,0.549171012,-0.008990736,0.704066673,0.005035916,0.011235847,0,0,137.0309841,2032.464952,0,0,-251.9535161,725.1645142,-257.1342058,753.7936977,-498.2308387,-85.76257862,129.1545391,2056.691973,-425.1094381,133.4145335,0.121168582,0.460745342
696,65,10.70769231,3,0.352806101,0.129038237,6.438516343,3,1,2,268.4675325,34.58993867,34.96582493,9.46436953,5.701610029,50.77171437,0.024706241,0.685123065,0.03626828,0.475899955,0.041747444,0.62258544,0.011695691,0.011330942,0,0,9.866140146,2081.213856,0,0,-246.6021927,750.9446032,-241.8612076,749.2704057,-417.5830851,-68.25478031,-3.966305078,2070.557887,-391.9104212,60.0287632,0.109195402,0.343581781
696,65,10.70769231,3,0.474018718,0.08697659,6.435629175,3,1,2,277.8461538,11.56578394,10.58769261,4.291803756,4.952223765,27.23669663,-0.023474114,0.663042574,-0.009710096,0.407668148,-0.017647729,0.54071351,0.008260511,0.004768817,0,0,81.99569909,2082.886685,0,0,-298.0216339,646.3216398,-272.937012,763.7663632,-489.8017929,-85.56240611,111.0710326,2182.904113,-415.787678,171.4177287,0.109195402,0.45
696,65,10.70769231,3,0.484623988,0.109616293,6.440051758,2,1,1,263.5294118,18.00201056,15.18383656,7.658312217,6.852042614,38.16035143,-0.134820043,0.64789269,-0.088688748,0.471448791,-0.119712187,0.6145896,-0.002784883,0.007862261,0,0,98.31714983,1984.579579,0,0,-273.7130959,635.9059528,-254.9952985,783.656412,-481.1690152,-84.48775125,112.3037372,2038.384758,-430.605984,107.2358325,0.107758621,0.428012422
696,65,10.70769231,3,0.463146666,0.113350585,6.438516343,3,1,2,268.4675325,20.10624169,20.72257257,6.656661648,11.36552646,39.89728844,0.002332326,0.561392569,0.027132346,0.412668991,0.030052627,0.539842013,0.009048933,0.007259982,0,0,92.75760355,2041.62187,0,0,-293.0144062,578.5135341,-276.2202286,669.8554523,-481.2013427,-129.1443406,101.7664113,2121.612998,-430.879214,69.38324399,0.108237548,0.350434783
696,65,10.70769231,3,0.426086042,0.11979846,6.437042634,3,1,2,273.2387097,23.70800797,24.4065629,3.965935215,14.39839714,30.94787268,0.056536418,0.693302872,0.054718774,0.500364743,0.066332467,0.649994356,0.014922102,0.009953527,0,0,64.43069457,2162.721607,0,0,-268.5175993,722.9538242,-270.9102594,712.0087913,-476.5467447,-150.0136105,64.92461535,2094.223206,-415.1971167,117.1437419,0.114463602,0.33194617
696,65,10.70769231,3,0.469646877,0.125109714,6.440051758,2,1,1,263.5294118,23.8444459,24.6252037,6.000931213,8.692580235,36.461621,0.138214957,0.696547068,0.108476405,0.517165309,0.136015803,0.664910582,0.023159283,0.011005933,0,0,87.50474587,2036.762098,0,0,-258.1722247,740.0362573,-295.1350968,600.1054589,-495.7262784,-170.6058407,124.2985068,2198.516594,-417.3415994,108.109577,0.110153257,0.376397516
696,65,10.70769231,3,0.502202971,0.105342985,6.440051758,2,1,1,263.5294118,15.94913675,15.52881192,4.963293798,7.511228513,30.98041252,0.017798085,0.554870467,0.009672292,0.41886692,0.008426873,0.548983985,0.010596018,0.006096878,0,0,121.825238,2085.626498,0,0,-259.251138,736.2043055,-298.9671589,582.6764615,-472.299963,-30.96951647,110.4889966,1946.765844,-441.8968268,52.75998594,0.107279693,0.329047619
