0,P,B,AP,A,AA,LogisticRegression(n_jobs=-1),AA - AP,AA - LogisticRegression(n_jobs=-1),AP - LogisticRegression(n_jobs=-1)
S005.csv,ExtraTreesClassifier(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.482795031,LogisticRegression(n_jobs=-1),0.499979296,0.499979296,0.017184265000000032,0.0,-0.017184265000000032
S023.csv,MLPClassifier(max_iter=500),"RidgeClassifier(), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.47573499,RidgeClassifier(),0.489979296,0.477101449,0.014244305999999984,0.012877846999999998,-0.0013664589999999865
S072.csv,RidgeClassifier(),"MLPClassifier(max_iter=500), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), RandomForestClassifier(n_jobs=-1)",0.462484472,MLPClassifier(max_iter=500),0.511511387,0.471200828,0.049026915000000004,0.04031055899999997,-0.008716356000000036
S018.csv,LogisticRegression(n_jobs=-1),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.63505176,LogisticRegression(n_jobs=-1),0.63505176,0.63505176,0.0,0.0,0.0
S060.csv,LogisticRegression(n_jobs=-1),"RidgeClassifier(), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.545942029,RidgeClassifier(),0.548861284,0.545942029,0.0029192550000000095,0.0029192550000000095,0.0
S101.csv,LogisticRegression(n_jobs=-1),"RandomForestClassifier(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500)",0.559047619,RandomForestClassifier(n_jobs=-1),0.570745342,0.559047619,0.011697723000000049,0.011697723000000049,0.0
S108.csv,LogisticRegression(n_jobs=-1),"MLPClassifier(max_iter=500), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), RandomForestClassifier(n_jobs=-1)",0.488447205,MLPClassifier(max_iter=500),0.494182195,0.488447205,0.005734989999999995,0.005734989999999995,0.0
S002.csv,RidgeClassifier(),"ExtraTreesClassifier(n_jobs=-1), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.510144928,ExtraTreesClassifier(n_jobs=-1),0.560559006,0.502898551,0.05041407799999997,0.057660454999999944,0.0072463769999999705
S040.csv,LogisticRegression(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.541552795,ExtraTreesClassifier(n_jobs=-1),0.542981366,0.541552795,0.0014285710000000451,0.0014285710000000451,0.0
S020.csv,MLPClassifier(max_iter=500),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.530124224,LogisticRegression(n_jobs=-1),0.544596273,0.544596273,0.014472048999999987,0.0,-0.014472048999999987
S030.csv,MLPClassifier(max_iter=500),"RidgeClassifier(), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500)",0.574637681,RidgeClassifier(),0.581904762,0.576149068,0.007267080999999953,0.005755693999999978,-0.0015113869999999752
S011.csv,LogisticRegression(n_jobs=-1),"MLPClassifier(max_iter=500), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), RandomForestClassifier(n_jobs=-1)",0.50436853,MLPClassifier(max_iter=500),0.520310559,0.50436853,0.01594202899999997,0.01594202899999997,0.0
S069.csv,RidgeClassifier(),"RidgeClassifier(), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500)",0.525942029,RidgeClassifier(),0.525942029,0.514451346,0.0,0.011490683000000002,0.011490683000000002
S051.csv,ExtraTreesClassifier(n_jobs=-1),"RandomForestClassifier(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), MLPClassifier(max_iter=500)",0.544596273,RandomForestClassifier(n_jobs=-1),0.550227743,0.489979296,0.005631469999999972,0.06024844699999998,0.05461697700000001
S084.csv,ExtraTreesClassifier(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.528964803,RandomForestClassifier(n_jobs=-1),0.53320911,0.496066253,0.004244307000000003,0.03714285700000003,0.032898550000000026
S042.csv,RandomForestClassifier(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.510227743,RidgeClassifier(),0.559130435,0.554741201,0.04890269200000008,0.00438923400000002,-0.04451345800000006
S019.csv,LogisticRegression(n_jobs=-1),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.522857143,LogisticRegression(n_jobs=-1),0.522857143,0.522857143,0.0,0.0,0.0
S063.csv,RidgeClassifier(),"RandomForestClassifier(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500)",0.504389234,RandomForestClassifier(n_jobs=-1),0.514327122,0.510124224,0.00993788799999995,0.004202897999999955,-0.005734989999999995
S092.csv,ExtraTreesClassifier(n_jobs=-1),"RidgeClassifier(), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.497650664,RidgeClassifier(),0.519113892,0.510086823,0.021463228,0.009027069000000054,-0.012436158999999947
S061.csv,LogisticRegression(n_jobs=-1),"MLPClassifier(max_iter=500), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), RandomForestClassifier(n_jobs=-1)",0.52884058,MLPClassifier(max_iter=500),0.563291925,0.52884058,0.03445134500000002,0.03445134500000002,0.0
S079.csv,RandomForestClassifier(n_jobs=-1),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500)",0.452732919,LogisticRegression(n_jobs=-1),0.511780538,0.511780538,0.059047618999999996,0.0,-0.059047618999999996
S008.csv,MLPClassifier(max_iter=500),"MLPClassifier(max_iter=500), LogisticRegression(n_jobs=-1), RidgeClassifier()",0.593457557,MLPClassifier(max_iter=500),0.593457557,0.584782609,0.0,0.008674948000000016,0.008674948000000016
S080.csv,RandomForestClassifier(n_jobs=-1),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.444078675,LogisticRegression(n_jobs=-1),0.474099379,0.474099379,0.03002070400000001,0.0,-0.03002070400000001
S094.csv,LogisticRegression(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.540310559,LogisticRegression(n_jobs=-1),0.540310559,0.540310559,0.0,0.0,0.0
S014.csv,MLPClassifier(max_iter=500),"RandomForestClassifier(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500)",0.471035197,RandomForestClassifier(n_jobs=-1),0.494223602,0.486915114,0.023188404999999968,0.007308488000000002,-0.015879916999999966
S049.csv,LogisticRegression(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.488530021,LogisticRegression(n_jobs=-1),0.488530021,0.488530021,0.0,0.0,0.0
S006.csv,RandomForestClassifier(n_jobs=-1),"RandomForestClassifier(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500)",0.568881988,RandomForestClassifier(n_jobs=-1),0.568881988,0.52873706,0.0,0.040144928000000024,0.040144928000000024
S107.csv,LogisticRegression(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LinearDiscriminantAnalysis(solver=lsqr), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.481449275,RidgeClassifier(),0.487163561,0.481449275,0.005714286000000013,0.005714286000000013,0.0
S036.csv,MLPClassifier(max_iter=500),"LinearDiscriminantAnalysis(solver=lsqr), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500)",0.454244306,LinearDiscriminantAnalysis(solver=lsqr),0.487122153,0.464140787,0.032877847000000016,0.022981366000000003,-0.009896481000000013
S068.csv,MLPClassifier(max_iter=500),"ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.502795031,ExtraTreesClassifier(n_jobs=-1),0.535879917,0.501532091,0.033084886000000036,0.03434782600000008,0.0012629400000000457
S039.csv,RidgeClassifier(),"LogisticRegression(n_jobs=-1), ExtraTreesClassifier(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.48436853,LogisticRegression(n_jobs=-1),0.494430642,0.494430642,0.010062111999999956,0.0,-0.010062111999999956
S031.csv,LogisticRegression(n_jobs=-1),"ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), MLPClassifier(max_iter=500), RandomForestClassifier(n_jobs=-1)",0.467039337,ExtraTreesClassifier(n_jobs=-1),0.494306418,0.467039337,0.027267081000000026,0.027267081000000026,0.0
S003.csv,MLPClassifier(max_iter=500),"MLPClassifier(max_iter=500), ExtraTreesClassifier(n_jobs=-1), LogisticRegression(n_jobs=-1), RidgeClassifier(), RandomForestClassifier(n_jobs=-1)",0.545714286,MLPClassifier(max_iter=500),0.545714286,0.531407867,0.0,0.01430641900000007,0.01430641900000007
